Provinsi,URL Produk,Nama Produk,Lokasi Toko,Harga (IDR),Unit Terjual,Volume Penjualan (IDR),Rating,Tahun
Sumatera Utara,https://www.tokopedia.com/daily-frozen-mart-diblokir/salmon-utuh-fillet-baca-deskripsi-sblm-pesan-1-6-kg?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+medan%26search_id%3D202606071527174734BA6F3DE83D30533D%26src%3Dsearch,salmon utuh fillet (BACA DESKRIPSI SBLM PESAN),0,416000,0,0,5.0,2024
Sumatera Utara,https://www.tokopedia.com/jadesaltedfish/ikan-teri-medan-super-berat-1kg?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+medan%26search_id%3D202606071527174734BA6F3DE83D30533D%26src%3Dsearch,Ikan Teri Medan Super Berat 1kg,Ikan Teri Medan Super Berat 1kg,147000,0,0,5.0,2024
Sumatera Utara,https://www.tokopedia.com/jeni-cika-khas-medan/ikan-teri-nasi-sedang-khas-medan-makanan-laut-frozen-1731336595972130156?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+medan%26search_id%3D202606071527174734BA6F3DE83D30533D%26src%3Dsearch,18%,Ikan Teri Nasi Sedang Khas Medan  Makanan Laut Frozen,143000,0,0,4.9,2024
Sumatera Utara,https://www.tokopedia.com/kuliner-medan04/ikan-teri-medan-grade-a-besar-besar?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+medan%26search_id%3D202606071527174734BA6F3DE83D30533D%26src%3Dsearch,Ikan Teri Medan Grade A Besar besar,Ikan Teri Medan Grade A Besar besar,120000,0,0,4.7,2024
Sumatera Utara,https://www.tokopedia.com/22seafood/ikan-salmon-salmon-utuh-ikan-utuh-ikan-laut-seafood-22?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+medan%26search_id%3D202606071527174734BA6F3DE83D30533D%26src%3Dsearch,Ikan Salmon / Salmon Utuh / Ikan Utuh / Ikan Laut / Seafood 22,0,1100000,0,0,4.8,2024
Sumatera Barat,https://www.tokopedia.com/kanayaresto/ikan-keranjang-padang-batik-xl-murah-ikan-hias-air-laut-makan-pelet-s-dc4da?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+padang%26search_id%3D20260607152732577BCC914F9E55270CPS%26src%3Dsearch,Ikan Keranjang Padang Batik XL - MURAH ikan Hias air laut makan pelet,Ikan Keranjang Padang Batik XL - MURAH ikan Hias air laut makan pelet,145000,8,1160000,5.0,2024
Sumatera Barat,https://www.tokopedia.com/tokorajalelebekasi2/gurame-padang-5-jari?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+padang%26search_id%3D20260607152732577BCC914F9E55270CPS%26src%3Dsearch,gurame padang 5 jari,gurame padang 5 jari,100000,0,0,5.0,2024
Sumatera Barat,https://www.tokopedia.com/tariganmedan/ikan-bilis-padang-1kg?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+padang%26search_id%3D20260607152732577BCC914F9E55270CPS%26src%3Dsearch,Ikan Bilis Padang 1kg,Ikan Bilis Padang 1kg,223000,0,0,5.0,2024
Sumatera Barat,https://www.tokopedia.com/danisa180491/paketan-30ekor-gurame-padang?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+padang%26search_id%3D20260607152732577BCC914F9E55270CPS%26src%3Dsearch,paketan 30ekor gurame padang,paketan 30ekor gurame padang,55000,0,0,4.8,2024
Sumatera Barat,https://www.tokopedia.com/raksayur/ikan-gabus-kiruang-segar-500gr-ikan-daging-segar-rak-sayur-padang?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+padang%26search_id%3D20260607152732577BCC914F9E55270CPS%26src%3Dsearch,Ikan Gabus Kiruang Segar 500gr Ikan Daging Segar Rak Sayur Padang,Ikan Gabus Kiruang Segar 500gr Ikan Daging Segar Rak Sayur Padang,52400,8,419200,5.0,2024
Sumatera Barat,https://www.tokopedia.com/ckayis/ikan-naso-padang-saltwater?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+padang%26search_id%3D20260607152732577BCC914F9E55270CPS%26src%3Dsearch,ikan naso Padang (saltwater),ikan naso Padang (saltwater),250000,0,0,0.0,2024
Sumatera Barat,https://www.tokopedia.com/guramehiaskwalitas/ikan-gurame-padang-hidup-ngorek-kayu-kwalitas-1729843238251234930?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+padang%26search_id%3D20260607152732577BCC914F9E55270CPS%26src%3Dsearch,Ikan Gurame Padang Promo Paketan 10 Ekor Ngorek Kayu Kwalitas,Ikan Gurame Padang Promo Paketan 10 Ekor Ngorek Kayu Kwalitas,147999,0,0,5.0,2024
Sumatera Barat,https://www.tokopedia.com/poltangan-reef/golden-maroon-clownfish-balong-padang-emas-rare-fish-aquarium-laut-large?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+padang%26search_id%3D20260607152732577BCC914F9E55270CPS%26src%3Dsearch,golden maroon clownfish balong padang emas rare fish aquarium laut large,golden maroon clownfish balong padang emas rare fish aquarium laut large,160000,11,1760000,5.0,2024
Sumatera Barat,https://www.tokopedia.com/haris-benih-ikan-bekasi-timur/gurami-padang-size-8-10-3-jari-1731421789115286650?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+padang%26search_id%3D20260607152732577BCC914F9E55270CPS%26src%3Dsearch,Gurami padang size 8-10 (3 jari),Gurami padang size 8-10 (3 jari),20000,0,0,4.8,2024
Sumatera Barat,https://www.tokopedia.com/muslim18/gurpat-jumbo-gurame-padang-jumbo-size-8-9-jarian-big-jumbo-4-jari-15-cm-90524?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+padang%26search_id%3D20260607152732577BCC914F9E55270CPS%26src%3Dsearch,GURPAT JUMBO. GURAME PADANG JUMBO. SIZE 8-9 JARIAN. BIG JUMBO.,GURPAT JUMBO. GURAME PADANG JUMBO. SIZE 8-9 JARIAN. BIG JUMBO.,75000,13,975000,5.0,2024
Riau,https://www.tokopedia.com/fish-supplier-bali/fresh-frozen-ikan-laut-kakap-merah-500-gram-ikan-kakap-merah-1735406238078502643-1735406253179504371?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+pekanbaru%26search_id%3D202606071527475737C6EC2E07161152E5%26src%3Dsearch,Ikan Laut Kakap Merah Bersih 1KG Segar Fresh -  Ikan Kakap Merah - Berkualitas - Bergaransi,Fish supplier bali,55000,7,385000,5.0,2024
Riau,https://www.tokopedia.com/fish-supplier-bali/fresh-frozen-ikan-laut-kerapu-merah-500-gram-ikan-kerapu-merah-1735384436434175731-1735384433343432435?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+pekanbaru%26search_id%3D202606071527475737C6EC2E07161152E5%26src%3Dsearch,Ikan Laut Kerapu Merah Bersih 1KG Segar Fresh - Ikan Kerapu Merah - Berkualitas - Bergaransi,Fish supplier bali,37500,1,37500,0.0,2024
Riau,https://www.tokopedia.com/lapakabdicom/ikan-kembung-500gr-ikan-laut-segar-garansi-termurah?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+pekanbaru%26search_id%3D202606071527475737C6EC2E07161152E5%26src%3Dsearch,Ikan Kembung 500gr Ikan Laut Segar Garansi Termurah,0,23900,0,0,5.0,2024
Riau,https://www.tokopedia.com/fish-supplier-bali/fresh-frozen-ikan-laut-kerapu-warna-campur-500-gram-ikan-kerapu-warna-1735384290940520179-1735384307537184499?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+pekanbaru%26search_id%3D202606071527475737C6EC2E07161152E5%26src%3Dsearch,Ikan Laut Kerapu Warna 1KG Bersih Segar - Ikan Kerapu Warna - Berkualitas - Bergaransi,Fish supplier bali,45000,5,225000,5.0,2024
Riau,https://www.tokopedia.com/fish-supplier-bali/fresh-frozen-ikan-laut-potong-500-gram-ikan-potong-ikan-campur-berkualitas-1735383907005269747-1735383907543844595?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+pekanbaru%26search_id%3D202606071527475737C6EC2E07161152E5%26src%3Dsearch,Steak Ikan Laut Potong 1KG Segar Fresh - Ikan Potong Ikan Campur Berkualitas - Bergaransi,Fish supplier bali,35000,2,70000,5.0,2024
Riau,https://www.tokopedia.com/sayur-segar-rizky-balikpapan/ikan-nila-segar-1kg?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+pekanbaru%26search_id%3D202606071527475737C6EC2E07161152E5%26src%3Dsearch,Ikan Nila Segar 1kg Pengiriman Instan,0,58000,0,0,5.0,2024
Riau,https://www.tokopedia.com/lapakabdicom/ikan-kakap-putih-1-kg-ikan-laut-seafood-segar-garansi-termurah?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+pekanbaru%26search_id%3D202606071527475737C6EC2E07161152E5%26src%3Dsearch,Ikan Kakap Putih 1 kg Ikan Laut Seafood Segar Garansi Termurah,0,97500,6,585000,0.0,2024
Riau,https://www.tokopedia.com/rumah-buah-murah/ikan-segar-ikan-laut-ikan-gembung?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+pekanbaru%26search_id%3D202606071527475737C6EC2E07161152E5%26src%3Dsearch,ikan segar ikan laut ikan gembung,0,25000,0,0,4.8,2024
Riau,https://www.tokopedia.com/balisustainableseafood/ikan-salem-biru-segar-fresh-blue-mackerel-fish-1-kg?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+pekanbaru%26search_id%3D202606071527475737C6EC2E07161152E5%26src%3Dsearch,Ikan Salem Biru Segar / Fresh Blue Mackerel Fish 1 KG,Bali Sustainable Seafood,87000,0,0,5.0,2024
Riau,https://www.tokopedia.com/oceanfishstore/ikan-laut-paketan-isi-5-ekor?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+pekanbaru%26search_id%3D202606071527475737C6EC2E07161152E5%26src%3Dsearch,ikan laut paketan isi 5 ekor,0,175000,1,175000,5.0,2024
Kepulauan Riau,https://www.tokopedia.com/rakhis-farizqi-305/ikan-laut-mantap-dan-segar-1731215062737585942?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+batam%26search_id%3D20260607152801496E05E1AEA0A92EF0TN%26src%3Dsearch,ikan laut mantap dan segar,0,100,0,0,0.0,2024
Kepulauan Riau,https://www.tokopedia.com/fish-supplier-bali/fresh-frozen-ikan-laut-kakap-merah-500-gram-ikan-kakap-merah-1735406238078502643-1735406253179504371?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+batam%26search_id%3D20260607152801496E05E1AEA0A92EF0TN%26src%3Dsearch,Ikan Laut Kakap Merah Bersih 1KG Segar Fresh -  Ikan Kakap Merah - Berkualitas - Bergaransi,Fish supplier bali,55000,7,385000,5.0,2024
Kepulauan Riau,https://www.tokopedia.com/lapakabdicom/ikan-kembung-500gr-ikan-laut-segar-garansi-termurah?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+batam%26search_id%3D20260607152801496E05E1AEA0A92EF0TN%26src%3Dsearch,Ikan Kembung 500gr Ikan Laut Segar Garansi Termurah,0,23900,0,0,5.0,2024
Kepulauan Riau,https://www.tokopedia.com/perkasa-prozen-food/ikan-salmon-fillet?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+batam%26search_id%3D20260607152801496E05E1AEA0A92EF0TN%26src%3Dsearch,Ikan Salmon Fillet,0,45000,0,0,4.8,2024
Kepulauan Riau,https://www.tokopedia.com/oceanfishstore/ikan-laut-paketan-isi-5-ekor?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+batam%26search_id%3D20260607152801496E05E1AEA0A92EF0TN%26src%3Dsearch,ikan laut paketan isi 5 ekor,0,175000,1,175000,5.0,2024
Kepulauan Riau,https://www.tokopedia.com/fresh-goods-official/ikan-bawal-hitam-ikan-bawal-laut-ikan-dorang-hitam-ikan-dorang-laut-dijamin-segar-dan-berkualitas-by-freshgoods-500-gram-utuh-73534?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+batam%26search_id%3D20260607152801496E05E1AEA0A92EF0TN%26src%3Dsearch,21%,0,31600,0,0,4.9,2024
